2010-05-26T09:17:28	Fast_Shutter	CLOSED
2010-05-26T09:37:25	Guide4	22.2
2010-05-26T09:37:25	Guide3	246.36
2010-05-26T09:37:26	Guide4	19.64
2010-05-26T09:37:26	Guide3	248.94
2010-05-26T09:37:27	Guide4	16.52
2010-05-26T09:37:27	Guide3	252.06
2010-05-26T09:37:28	Guide_Pressure	800
2010-05-26T09:37:28	Guide4	13.44
2010-05-26T09:37:28	Guide3	255.12
2010-05-26T09:37:29	Guide4	10.86
2010-05-26T09:37:29	Guide3	257.72
2010-05-26T09:37:30	Guide4	7.64
2010-05-26T09:37:30	Guide3	260.92
2010-05-26T09:37:32	Guide_Pressure	810
2010-05-26T09:37:32	Guide4	4.52
2010-05-26T09:37:32	Guide3	264.04
2010-05-26T09:37:33	Guide4	1.96
2010-05-26T09:37:33	Guide3	266.62
2010-05-26T09:37:34	Guide4	0.1
2010-05-26T09:37:34	Guide3	269.14
2010-05-26T09:37:35	Guide_Pressure	800
2010-05-26T09:37:35	Guide4	0
2010-05-26T09:37:35	Guide3	269.62
2010-05-26T09:37:36	Guide3	269.9
2010-05-26T09:37:37	Guide_Pressure	810
2010-05-26T09:38:16	Guide_Pressure	800
2010-05-26T09:38:21	Guide_Pressure	810
2010-05-26T09:38:25	Guide_Pressure	800
2010-05-26T09:38:28	Guide_Pressure	810
2010-05-26T09:38:31	Guide_Pressure	800
2010-05-26T09:38:35	Guide_Pressure	810
2010-05-26T09:38:40	Guide_Pressure	800
2010-05-26T09:38:47	Guide_Pressure	880
2010-05-26T09:38:50	Guide_Pressure	710
2010-05-26T09:38:53	Guide_Pressure	550
2010-05-26T09:38:56	Guide_Pressure	380
2010-05-26T09:38:59	Guide_Pressure	220
2010-05-26T09:39:02	Guide_Pressure	97
2010-05-26T09:39:06	Guide_Pressure	59
2010-05-26T09:39:09	Guide_Pressure	33
2010-05-26T09:39:12	Guide_Pressure	20
2010-05-26T09:39:15	Guide_Pressure	14
2010-05-26T09:39:19	Guide_Pressure	10
2010-05-26T09:39:21	Guide_Pressure	9.3
2010-05-26T09:39:24	Guide_Pressure	8.5
2010-05-26T09:39:28	Guide_Pressure	8
2010-05-26T09:39:31	Guide_Pressure	7.8
2010-05-26T09:39:34	Guide_Pressure	7.7
2010-05-26T09:39:37	Guide_Pressure	7.6
2010-05-26T09:39:43	Guide_Pressure	7.5
2010-05-26T09:40:15	Guide_Pressure	7.4
2010-05-26T09:40:49	Guide_Pressure	7.3
